MLS,Location,Price,Bedrooms,Bathrooms,Size,Status
153480,Atascadero,399000,6,3,2628,Foreclosure
153500,Los Osos,259900,3,2,1120,Short Sale
153513,Lompoc,350900,3,2,1686,Foreclosure
153516,Nipomo,1399900,4,4,5190,Short Sale
153543,Santa Maria-Orcutt,399000,3,2,1840,Short Sale
153547,Solvang,399000,3,2,1204,Short Sale
153552,Atascadero,199000,2,1,973,Short Sale
153556,Santa Maria-Orcutt,350000,3,2,1622,Short Sale
153565,Nipomo,296800,4,2,2125,Foreclosure
153570,Santa Maria-Orcutt,165000,3,2,1204,Short Sale
153576,Santa Maria-Orcutt,210000,3,3,1750,Short Sale
153606,San Miguel,229000,3,2,1458,Short Sale
153633,San Miguel,199500,3,2,1184,Short Sale
153639,Santa Maria-Orcutt,110000,3,2,1000,Short Sale
153647,Paso Robles,264900,3,3,1197,Foreclosure
153656,Atascadero,449900,3,3,2135,Foreclosure
153668,Santa Maria-Orcutt,159900,3,2,1114,Short Sale
153692,Paso Robles,429000,4,2,1870,Short Sale
153693,Grover Beach,265000,1,1,566,Short Sale
153697,Nipomo,279900,2,2,1134,Short Sale
153710,Santa Maria-Orcutt,174900,3,2,1100,Foreclosure
153719,Lompoc,158900,4,2,1144,Foreclosure
153734,Santa Maria-Orcutt,150000,3,2,1349,Short Sale
153738,Buellton,269000,3,3,1281,Short Sale
153746,Atascadero,489900,3,3,1957,Foreclosure
153757,Santa Maria-Orcutt,256000,4,2,1174,Short Sale
153768,Atascadero,335000,4,3,2400,Short Sale
153769,Morro Bay,435000,3,2,1236,Short Sale
153774,Santa Maria-Orcutt,280000,3,3,1910,Short Sale
153779,Paso Robles,409000,4,2,2064,Foreclosure
153780,Paso Robles,409000,4,2,2064,Foreclosure
153781,Paso Robles,399000,4,3,1888,Foreclosure
153783,Paso Robles,389000,4,2,1862,Foreclosure
153785,Nipomo,222600,3,2,1106,Foreclosure
153791,Santa Maria-Orcutt,140000,3,2,1200,Short Sale
153799,Soledad,220000,5,3,2408,Foreclosure
153800,Nipomo,650000,3,3,2703,Short Sale
153802,Lompoc,405000,3,2,1728,Short Sale
153807,Paso Robles,409000,3,2,1960,Foreclosure
153828,Santa Maria-Orcutt,164900,3,2,1092,Foreclosure
153839,Santa Margarita,59900,1,1,628,Foreclosure
153850,Santa Maria-Orcutt,199900,3,2,1275,Short Sale
153864,Atascadero,95000,2,1,756,Foreclosure
153865,Oceano,170000,2,2,885,Short Sale
153866,San Miguel,720000,4,4,3531,Foreclosure
153872,Santa Maria-Orcutt,204000,3,2,1712,Short Sale
153876,Santa Maria-Orcutt,220000,3,2,1100,Short Sale
153881,Buellton,498900,4,3,1500,Foreclosure
153900,Santa Maria-Orcutt,229900,3,2,1671,Short Sale
153915,San Luis Obispo,531905,3,2,1668,Foreclosure
153923,Santa Maria-Orcutt,114900,2,1,775,Foreclosure
153927,Guadalupe,145000,3,2,1200,Short Sale
153939,Lompoc,191330,4,2,1237,Foreclosure
153944,Lompoc,199900,4,2,1338,Short Sale
153949,Santa Maria-Orcutt,266800,4,3,2100,Short Sale
153953,San Miguel,84900,2,2,1222,Foreclosure
153955,Santa Maria-Orcutt,250000,3,2,1807,Short Sale
153960,Santa Maria-Orcutt,220000,4,2,1352,Short Sale
153971,Lompoc,227900,3,2,1503,Foreclosure
153997,Buellton,384900,4,2,1571,Foreclosure
154005,Paso Robles,529000,4,3,2502,Short Sale
154006,Santa Maria-Orcutt,159900,3,2,1526,Foreclosure
154010,Atascadero,199000,3,2,1007,Short Sale
154015,Lompoc,125000,3,3,1306,Foreclosure
154028,Bakersfield,91500,3,2,1313,Short Sale
154034,Santa Maria-Orcutt,155000,3,2,1593,Short Sale
154038,Paso Robles,409000,3,3,2203,Short Sale
154044,Atascadero,949000,5,4,5200,Short Sale
154048,Atascadero,90000,2,1,756,Short Sale
154058,Santa Maria-Orcutt,300000,3,3,2328,Foreclosure
154060,Santa Maria-Orcutt,179900,3,2,1008,Short Sale
154066,Grover Beach,349000,3,2,1346,Short Sale
154071,Nipomo,220000,3,2,1112,Foreclosure
154074,Santa Maria-Orcutt,155000,3,2,1340,Short Sale
154075,Paso Robles,390000,4,2,2236,Short Sale
154090,Santa Maria-Orcutt,425000,5,4,3039,Short Sale
154091,Santa Maria-Orcutt,249900,3,2,1733,Short Sale
154092,Santa Maria-Orcutt,239000,4,3,1947,Short Sale
154111,Buellton,395000,4,3,1868,Short Sale
154113,Buellton,375000,3,3,1475,Short Sale
154115,Buellton,395000,4,3,1868,Short Sale
154116,Buellton,395000,4,3,1868,Short Sale
154119,Santa Maria-Orcutt,230000,4,3,1927,Short Sale
154131,Santa Maria-Orcutt,189000,3,2,1292,Foreclosure
154136,Paso Robles,304900,3,2,1657,Foreclosure
154145,Santa Maria-Orcutt,169900,3,2,1300,Foreclosure
154147,Santa Maria-Orcutt,286500,3,2,1700,Short Sale
154153,San Miguel,325000,4,2,2400,Short Sale
154154,Grover Beach,375000,3,2,1278,Short Sale
154159,Paso Robles,278000,3,2,1396,Foreclosure
154161,Paso Robles,149000,3,2,1368,Short Sale
154167,Santa Maria-Orcutt,209000,3,2,1520,Short Sale
154169,Santa Maria-Orcutt,95000,2,2,900,Short Sale
154171,Santa Maria-Orcutt,199900,3,2,1407,Short Sale
154175,Santa Maria-Orcutt,185000,3,2,1170,Short Sale
154182,Lompoc,449900,4,3,3035,Foreclosure
154197,Santa Maria-Orcutt,310000,5,4,2900,Short Sale
154199,Santa Maria-Orcutt,239900,4,2,1656,Short Sale
154200,Santa Maria-Orcutt,187900,2,2,980,Foreclosure
154201,Arroyo Grande,450000,3,2,1916,Short Sale
154205,San Luis Obispo,440000,3,3,1756,Short Sale
154223,Santa Maria-Orcutt,260000,3,2,1278,Short Sale
154233,New Cuyama,40900,3,1,1201,Short Sale
154241,Paso Robles,249000,3,2,1275,Short Sale
154242,Atascadero,349000,3,3,2000,Short Sale
154244,Santa Maria-Orcutt,175000,3,2,1200,Short Sale
154246,Atascadero,449970,3,2,2000,Foreclosure
154254,Grover Beach,419000,3,2,1902,Short Sale
154257,Arroyo Grande,400000,3,3,1568,Short Sale
154259,Santa Maria-Orcutt,185000,3,2,1257,Short Sale
154276,Santa Maria-Orcutt,139900,2,2,1100,Short Sale
154279,Santa Maria-Orcutt,174900,3,2,1461,Foreclosure
154283,Soledad,165360,4,2,1353,Foreclosure
154284,Santa Maria-Orcutt,169000,3,2,1200,Short Sale
154298,Santa Maria-Orcutt,240000,3,3,2039,Short Sale
154304,Santa Maria-Orcutt,364000,4,3,2150,Short Sale
154308,Arroyo Grande,250000,1,1,748,Short Sale
154309,Santa Maria-Orcutt,299900,4,3,1969,Foreclosure
154311,Santa Maria-Orcutt,281900,4,3,2357,Foreclosure
154312,Grover Beach,349900,3,1,1522,Short Sale
154317,Santa Maria-Orcutt,220000,3,2,1850,Short Sale
154320,Templeton,774800,3,4,3123,Foreclosure
154322,Santa Maria-Orcutt,135000,3,2,1200,Short Sale
154325, Lompoc,149900,3,1,1000,Regular
154327,Paso Robles,599000,3,2,2082,Foreclosure
154328,Santa Maria-Orcutt,179000,3,2,1200,Foreclosure
154329,Santa Maria-Orcutt,177000,3,2,1500,Foreclosure
154329,Santa Maria-Orcutt,177000,3,2,1500,Regular
154330, Nipomo,122500,4,2,1248,Regular
154332,Santa Maria-Orcutt,239500,3,2,1400,Short Sale
154335,Paso Robles,214900,3,2,1080,Foreclosure
154338,Santa Maria-Orcutt,275000,3,2,1460,Short Sale
154343, Arroyo Grande,425000,3,2,1437,Regular
154344,San Simeon,274900,2,2,1218,Foreclosure
154345, Nipomo,175000,2,2,1152,Regular
154346, Morro Bay,535000,2,2,1410,Regular
154347, Pismo Beach,540000,2,1,817,Regular
154348, Cambria,389000,2,2,703,Regular
154350,Paso Robles,250000,3,2,1425,Short Sale
154352, Paso Robles,425000,3,2,1807,Regular
154353, Out Of Area,1195000,5,4,3800,Regular
154354, Los Osos,1350000,3,3,2502,Regular
154356,Santa Maria-Orcutt,78500,1,1,800,Foreclosure
154357, Paso Robles,549000,3,2,2237,Regular
154358, Santa Maria-Orcutt,399900,4,2,1860,Regular
154359,Atascadero,699000,10,11,4905,Short Sale
154360, Santa Maria-Orcutt,129000,2,2,1200,Regular
154361, Cambria,480000,2,2,1698,Regular
154363,Nipomo,189000,3,1,1022,Foreclosure
154365, Pismo Beach,639900,3,2,2080,Regular
154366, Santa Maria-Orcutt,699900,5,4,3000,Regular
154367, Grover Beach,999000,3,3,3621,Regular
154370, Arroyo Grande,599000,3,2,1570,Regular
154371, Santa Maria-Orcutt,365000,4,2,1860,Regular
154372,Cambria,359900,3,2,1840,Foreclosure
154373, Arroyo Grande,995000,4,4,3740,Regular
154374,Lompoc,193450,4,2,1217,Foreclosure
154376,Santa Maria-Orcutt,179900,3,3,1520,Short Sale
154378,Grover Beach,329900,3,2,1240,Short Sale
154379, Templeton,509000,3,2,1936,Regular
154380, Atascadero,995000,3,3,2044,Regular
154381, Pismo Beach,545000,3,2,1946,Regular
154382, Pismo Beach,795000,3,3,2028,Regular
154383, Atascadero,830000,4,3,2700,Regular
154384, Arroyo Grande,54500,2,1,624,Regular
154385, Arroyo Grande,149000,3,2,1800,Regular
154386, Santa Maria-Orcutt,36000,2,2,1056,Regular
154387, Paso Robles,349000,3,2,1467,Regular
154389,Santa Maria-Orcutt,299900,4,3,2150,Short Sale
154390, Morro Bay,469000,4,2,2004,Regular
154393, Oceano,1195000,2,2,1044,Regular
154394,Solvang,419900,3,2,1576,Foreclosure
154397, Los Osos,189000,2,2,1536,Regular
154398,Lompoc,163900,3,2,1082,Foreclosure
154399,Lompoc,163900,3,2,1237,Foreclosure
154400, Los Osos,648000,3,3,2193,Regular
154401,Santa Maria-Orcutt,130000,3,2,1022,Short Sale
154402,Atascadero,264900,3,2,1232,Foreclosure
154407,Santa Maria-Orcutt,189900,4,2,1435,Foreclosure
154408,Santa Maria-Orcutt,200000,4,2,1430,Short Sale
154410, Arroyo Grande,1249000,3,3,2480,Regular
154412, Cayucos,525000,3,3,1832,Regular
154413, Cambria,729000,3,3,1953,Regular
154414,Santa Maria-Orcutt,109900,3,2,1100,Foreclosure
154415, Santa Maria-Orcutt,850000,3,2,2481,Regular
154417,Santa Maria-Orcutt,249500,3,2,1704,Short Sale
154418,Oceano,179900,3,2,1161,Foreclosure
154419, Los Osos,149000,3,2,1440,Regular
154420, Creston,549000,3,2,1701,Regular
154421, Atascadero,435000,3,2,1536,Regular
154422, Atascadero,299000,3,2,1310,Regular
154423, Los Osos,625000,3,2,2187,Regular
154425,Santa Maria-Orcutt,399000,4,3,2100,Short Sale
154427,Out Of Area,186900,4,2,1511,Regular
154428, Cambria,1290000,3,3,2130,Regular
154429,Solvang,264900,2,3,1400,Foreclosure
154430,Lompoc,198900,3,2,1225,Foreclosure
154432, Paso Robles,318000,3,3,1868,Regular
154434, Cambria,2000000,4,4,3576,Regular
154435, Cambria,598000,2,3,2219,Regular
154437,Paso Robles,439900,3,3,2508,Foreclosure
154441, Pismo Beach,920000,3,3,2817,Regular
154442,Santa Maria-Orcutt,179900,3,2,1972,Short Sale
154443,Templeton,325000,2,1,952,Short Sale
154444, Grover Beach,369000,3,2,1080,Regular
154455, Santa Maria-Orcutt,312900,3,2,1454,Regular
154461, Atascadero,575000,3,3,1961,Regular
154462, Santa Maria-Orcutt,26500,2,2,1344,Regular
154463, San Luis Obispo,2369000,5,6,4174,Regular
154464, Atascadero,67500,2,2,120,Regular
154466, San Luis Obispo,1490000,3,3,3201,Regular
154467, Morro Bay,652000,3,2,1427,Regular
154468, Atascadero,449000,3,3,2100,Regular
154469, Morro Bay,982800,3,2,2306,Regular
154470,Santa Maria-Orcutt,235000,4,3,2100,Short Sale
154472, Paso Robles,579900,4,3,3166,Regular
154474,Santa Maria-Orcutt,250000,3,2,1280,Short Sale
154475,Coalinga,100000,3,1,870,Short Sale
154476,Coalinga,125000,2,1,960,Short Sale
154477, Cambria,650000,2,2,919,Regular
154478,Santa Maria-Orcutt,119900,2,2,1034,Foreclosure
154479,San Miguel,209900,3,2,1356,Foreclosure
154481, Paso Robles,524900,3,2,2380,Regular
154482,Atascadero,349000,5,3,3000,Short Sale
154482, Atascadero,349000,5,3,3000,Regular
154483, Cambria,825000,2,3,1840,Regular
154484,Grover Beach,255000,3,2,1189,Short Sale
154485,Nipomo,259000,4,2,1336,Short Sale
154486,Paso Robles,199000,2,1,832,Short Sale
154487,Santa Maria-Orcutt,410000,5,3,2100,Foreclosure
154488, Paso Robles,199000,3,1,940,Regular
154489, Paso Robles,270000,3,2,1344,Regular
154490, Cayucos,695000,2,2,1437,Regular
154491, Cambria,2995000,5,4,3684,Regular
154492, Paso Robles,131900,1,2,300,Regular
154493, Cambria,995000,4,3,2717,Regular
154494, Santa Maria-Orcutt,250000,4,3,2097,Regular
154495,Arroyo Grande,239800,5,2,1575,Foreclosure
154496, Atascadero,425000,6,3,2628,Regular
154497, Arroyo Grande,525000,3,2,1750,Regular
154498, Pismo Beach,459900,3,2,1346,Regular
154501,Atascadero,229900,3,2,1041,Foreclosure
154503,Out Of Area,199900,3,2,1526,Regular
154504, Arroyo Grande,599000,4,2,1728,Regular
154506,Santa Maria-Orcutt,197600,4,2,1378,Foreclosure
154508, Santa Maria-Orcutt,355000,2,1,1145,Regular
154510, Paso Robles,339900,3,2,1325,Regular
154512, Santa Maria-Orcutt,299000,3,3,1850,Regular
154513,Soledad,166800,4,2,1765,Foreclosure
154515,Grover Beach,379000,4,2,1631,Short Sale
154516,Santa Ynez,1395000,4,4,2693,Short Sale
154517,Santa Maria-Orcutt,150000,3,2,1316,Short Sale
154518, San Luis Obispo,475000,3,2,1382,Regular
154519,Santa Maria-Orcutt,265000,4,3,2300,Foreclosure
154520,Atascadero,265000,3,2,1617,Short Sale
154521, Los Osos,225000,2,2,1150,Regular
154522,Paso Robles,249900,2,2,1674,Foreclosure
154523, Arroyo Grande,509000,3,2,1543,Regular
154525, Paso Robles,214900,2,2,1351,Regular
154526, Arroyo Grande,5499000,4,5,5060,Regular
154528, Santa Maria-Orcutt,349900,3,2,2000,Regular
154530, Solvang,125000,2,2,1536,Regular
154531,Cambria,549000,2,2,924,Short Sale
154532, Cambria,865000,3,3,1860,Regular
154533, Bradley,1600000,3,3,2640,Regular
154534, Nipomo,1065000,4,4,3395,Regular
154536,Templeton,625000,3,2,1850,Foreclosure
154538, Santa Maria-Orcutt,249999,3,2,1000,Regular
154539, Arroyo Grande,975000,4,3,2720,Regular
154541,Oceano,204900,2,1,992,Short Sale
154546, Atascadero,355000,3,2,1737,Regular
154547,Out Of Area,134900,3,3,1435,Regular
154548,Santa Maria-Orcutt,199900,5,3,1671,Short Sale
154550,Santa Maria-Orcutt,349900,4,3,2800,Short Sale
154553,Santa Maria-Orcutt,99000,2,2,900,Foreclosure
154554,Coalinga,409000,4,3,2507,Short Sale
154556, Pismo Beach,339000,2,2,1440,Regular
154557, San Miguel,595000,3,3,2238,Regular
154558, Pismo Beach,849500,3,3,2725,Regular
154559, Paso Robles,399000,2,3,1772,Regular
154560, Paso Robles,399000,4,2,1947,Regular
154561, Solvang,525000,3,2,1720,Regular
154562, Paso Robles,319900,3,3,1605,Regular
154565, Paso Robles,495000,3,2,1877,Regular
154566,San Luis Obispo,372000,3,2,1104,Foreclosure
154575, Arroyo Grande,589000,3,2,1975,Regular
154580, Cambria,1100000,3,3,2392,Regular
